pl_name,hostname,tran_flag,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_teff,st_rad,pl_dens
BD-14 3065 b,BD-14 3065 A,1.0,1.926,0.094,-0.094,4.2889731,5.2e-06,-5.2e-06,2001.0,31.0,-31.0,646.761,,,12.37,0.92,-0.87,1.41,0.05,-0.05,-0.34,0.05,-0.05,6935.0,2.35,2.15
CoRoT-1 b,CoRoT-1,1.0,1.49,0.08,-0.08,1.5089557,6.4e-06,-6.4e-06,1898.0,50.0,-50.0,2852.63,,,1.03,0.12,-0.12,0.95,0.15,-0.15,-0.3,0.25,-0.25,5950.0,1.11,0.38
CoRoT-11 b,CoRoT-11,1.0,1.43,0.03,-0.03,2.99433,1.1e-05,-1.1e-05,1657.0,55.0,-55.0,1890.649,,,2.33,0.34,-0.34,1.27,0.05,-0.05,-0.03,0.08,-0.08,6440.0,1.37,0.99
CoRoT-12 b,CoRoT-12,1.0,1.44,0.13,-0.13,2.828042,1.3e-05,-1.3e-05,1442.0,58.0,-58.0,661.1334,,,0.917,0.07,-0.065,1.078,0.077,-0.072,0.16,0.1,-0.1,5675.0,1.116,0.411
CoRoT-13 b,CoRoT-13,1.0,0.885,0.014,-0.014,4.03519,3e-05,-3e-05,1700.0,,,546.5339,,,1.308,0.066,-0.066,1.09,0.02,-0.02,0.01,0.07,-0.07,5945.0,1.01,2.34
CoRoT-18 b,CoRoT-18,1.0,1.31,0.18,-0.18,1.9000693,2.8e-06,-2.8e-06,1550.0,90.0,-90.0,823.7009,,,3.47,0.38,-0.38,0.95,0.15,-0.15,-0.1,0.1,-0.1,5440.0,1.0,2.2
CoRoT-19 b,CoRoT-19,1.0,1.29,0.03,-0.03,3.89713,2e-05,-2e-05,2000.0,150.0,-150.0,1103.809,,,1.11,0.06,-0.06,1.21,0.05,-0.05,-0.02,0.1,-0.1,6090.0,1.65,0.71
CoRoT-2 b,CoRoT-2,1.0,1.466,0.042,-0.044,1.7429935,1e-06,-1e-06,1521.0,18.0,-18.0,932.9076,,,3.47,0.22,-0.22,0.96,0.08,-0.08,0.04,0.05,-0.05,5625.0,0.906,1.47
CoRoT-20 b,CoRoT-20,1.0,0.84,0.04,-0.04,9.24285,0.0003,-0.0003,1024.0,16.0,-16.0,180.8704,,,4.3,0.2,-0.2,1.14,0.08,-0.08,0.14,0.12,-0.12,5880.0,1.02,8.87
CoRoT-4 b,CoRoT-4,1.0,1.19,0.06,-0.05,9.20205,0.00037,-0.00037,1074.0,19.0,-19.0,203.9517,,,0.72,0.08,-0.08,1.16,0.03,-0.02,0.05,0.07,-0.07,6190.0,1.17,0.525
CoRoT-5 b,CoRoT-5,1.0,1.388,0.046,-0.047,4.0378962,1.9e-06,-1.9e-06,1438.0,39.0,-39.0,786.2949,,,0.467,0.047,-0.024,1.0,0.02,-0.02,-0.25,0.06,-0.06,6100.0,1.186,0.217
DS Tuc A b,DS Tuc A,1.0,0.50851994,0.01516638,-0.01516638,8.138268,1.1e-05,-1.1e-05,850.0,,,115.8276,,,1.3,,,1.01,0.06,-0.06,0.0,,,5428.0,0.964,
EPIC 246851721 b,EPIC 246851721,1.0,1.051,0.044,-0.044,6.180235,1.4e-05,-1.4e-05,1401.0,16.0,-16.0,642.0,30.0,-29.0,3.0,1.1,-1.2,1.317,0.041,-0.04,0.141,0.082,-0.085,6202.0,1.586,3.1
